Median Household Income (Current Year $),Total Population,Total Households For Period Of Construction Built Before 1961,Total Households For Period Of Construction Built Between 1961 And 1980,Total Households For Period Of Construction Built Between 1981 And 1990,Total Households For Period Of Construction Built Between 1991 And 2000,Total Households For Period Of Construction Built Between 2001 And 2005,Total Households For Structure Type Houses,"Total Households For Structure Type Apartment, Building Low And High Rise",Total Households For Structure Type Other Dwelling Types,Dwellings by Tenure Owner,Dwellings by Tenure Renter
77288.83,2873,238,673,141,84,25,997,218,5,947,273
36079.86,2480,753,215,218,84,56,21,1350,0,298,998
74461.09,6475,368,722,484,354,159,2268,74,153,2190,175
111744.23,4061,266,807,333,79,9,1467,81,0,1404,45
114148.89,5826,0,10,0,20,868,1450,10,0,1351,47
91540.17,3072,3,25,268,682,75,985,248,0,987,193
64473.07,6032,373,435,233,269,168,248,1557,0,854,835
108597.38,5748,13,401,35,571,564,1804,94,0,1686,117
47620.1,3139,599,149,69,57,50,344,841,15,287,722
89501.81,4951,0,0,23,451,715,1521,6,0,1260,175
78366.16,8733,451,959,314,418,192,2718,189,291,2488,519
91044.6,4613,44,390,486,408,118,1079,533,4,1235,301
59590.17,5307,422,535,423,370,161,1394,799,14,1391,769
48508.47,4642,310,1077,161,101,14,580,1148,0,665,909
86590.49,3440,380,509,65,65,109,1022,201,0,1005,166
112604.8,5603,239,420,424,283,100,1839,36,3,1711,81
127395.54,6219,2,21,168,375,314,2213,0,0,1825,106
116456.95,3350,367,426,96,131,0,1026,184,0,901,209
59547.3,4307,15,905,511,166,23,1193,504,0,899,694
87287.84,2823,8,898,117,39,3,824,248,0,708,333
26364.62,1556,282,47,67,136,25,0,760,0,313,372
81484.63,6015,3,138,121,1247,560,1621,713,0,1902,297
17951.11,3734,134,135,73,105,149,165,1495,0,134,1328
61377.34,6585,466,1584,444,180,117,1489,1526,5,1739,1128
69834.72,4145,1235,360,81,26,25,1283,506,11,1108,578
107968.91,4141,13,824,479,28,11,1326,60,0,1155,116
120708.95,6903,428,645,473,313,183,2218,99,4,1900,269
72749.75,3718,1046,166,19,57,74,576,978,11,811,642
67379.97,5336,1227,615,44,55,27,1981,291,5,1900,236
76995.78,5205,1081,967,172,77,5,1486,883,0,1464,786
45736.84,1715,266,207,38,29,23,230,472,6,280,374
107727.38,3876,1164,248,63,57,24,1324,295,3,1351,275
94941.06,4132,325,967,78,69,38,1000,538,0,1114,384
63972.23,3296,303,175,358,265,14,400,741,0,800,275
71869.53,4710,423,607,223,129,37,1228,278,0,1228,179
124435.31,4621,7,7,7,950,339,1382,0,4,1286,36
66764.82,4975,195,971,499,73,58,1213,724,13,1237,653
78975.07,7392,83,1684,311,116,19,1423,870,2,1457,635
78096.06,6529,111,145,160,102,101,1752,316,0,1580,349
69906.17,3674,96,1078,138,33,46,918,489,0,721,666
70498.64,6431,815,1265,230,397,141,1193,1891,5,1678,1351
85908.33,3306,27,59,241,410,66,702,272,0,762,148
80562.52,4733,246,837,317,124,108,1556,312,21,1569,265
47293.22,5640,621,903,141,68,203,766,1241,5,1223,669
77409.32,5904,71,613,385,353,231,1414,852,0,1347,742
118251.83,7905,77,269,1430,500,85,2067,649,0,2141,308
93839.4,4682,2,238,802,349,71,1226,290,0,1297,117
108528.2,10469,478,347,99,432,748,3397,71,0,2906,275
78576.35,4291,24,254,677,474,158,927,756,0,1342,232
54043.26,4422,929,383,67,13,16,1044,410,0,903,454
78207.33,3464,14,695,260,44,0,880,150,0,866,116
109241.19,7065,11,29,161,1250,495,2113,90,5,1841,226
42359.25,5466,131,955,539,457,228,139,2654,0,352,2271
88926.59,6477,35,264,1319,614,97,2089,405,4,1658,689
103530.71,7060,0,50,653,736,281,1732,194,0,1614,149
33293.76,4057,1071,619,203,136,46,199,1983,10,459,1704
72903.88,6677,1860,963,88,73,43,2453,635,0,2249,760
94785.71,47,0,0,6,2,0,8,0,5,6,0
86154.08,6873,426,1198,158,398,103,1605,945,3,1848,541
58147.8,4815,280,536,220,216,144,511,1119,0,718,857
87578.35,1997,98,288,134,199,23,642,69,150,752,102
82362.21,3479,61,1017,72,21,3,1081,122,0,910,251
198940.46,6319,328,647,128,149,427,1924,21,0,1725,50
76347.34,2213,149,37,15,94,230,0,1425,0,745,545
103238.33,4095,94,1163,143,41,20,1299,186,0,1381,47
41849.86,2393,330,484,62,58,27,473,612,5,327,733
58943.52,3975,202,588,309,165,121,1400,26,158,1340,176
71436.38,3135,58,353,169,194,112,773,314,0,743,288
51756.96,3279,201,387,133,141,97,1039,182,14,1018,183
45422.41,4988,312,1061,260,160,149,95,1984,4,568,1412
120294.56,5193,3,14,74,654,569,1461,253,3,1395,240
50835.53,5520,739,924,231,154,60,1010,1385,0,814,1364
94641.89,3015,0,0,2,47,91,7,1568,0,827,438
118115.63,4349,138,436,619,215,9,1147,321,0,1094,350
77873.57,5708,1082,984,73,27,11,1936,387,0,1320,836
46204.19,5511,523,1332,457,319,111,21,3510,5,717,2481
105824.33,9072,184,1031,466,365,313,3010,226,0,2470,514
52408.22,4395,54,413,735,442,96,464,1361,0,947,787
120119.67,1981,0,21,252,159,38,502,98,0,497,43
49374.15,2755,992,262,54,29,0,1121,231,0,895,415
83225.85,3208,238,411,174,284,32,1143,172,11,1074,154
77816.93,3748,210,832,322,65,23,1145,361,4,1111,340
110166.11,8102,109,1178,109,753,131,2516,104,6,2298,153
88269.46,3991,68,369,172,377,86,680,547,2,839,315
91170.93,6962,181,373,666,304,282,2431,243,0,2274,203
92408.11,4938,47,1159,262,54,10,1222,350,0,1188,263
53684.22,7513,1599,1313,184,149,105,1608,1931,0,1569,1869
54999.19,3016,262,553,162,88,105,749,547,20,754,527
84624.93,7503,336,1006,719,467,173,2360,748,22,2324,725
159296.72,6764,46,1125,660,286,79,2044,378,0,1866,397
112351.29,4064,678,481,44,27,42,1354,90,0,1173,144
102318.89,3655,20,70,284,460,44,552,392,0,704,165
76131.97,3037,190,790,149,39,9,1096,101,0,934,254
75478.93,7180,1491,487,173,195,68,1853,676,11,2019,374
78944.27,2315,680,212,18,13,0,906,59,0,781,126
47007.86,4867,252,1153,185,86,6,409,1318,0,155,1455
40023.51,2708,920,330,106,39,10,504,924,15,643,802
59100.17,5108,491,1155,86,46,29,803,1055,0,485,1264
105409.45,3830,92,227,225,193,185,1233,170,8,1180,140
88117.1,6916,0,9,15,361,1338,2133,288,0,2048,164
43935.47,5129,1648,557,136,65,23,128,2372,36,854,1558
99127.81,6061,141,1045,427,296,54,1603,541,0,1600,440
84493.96,2756,612,380,41,10,9,1054,21,0,951,91
44804.57,4960,330,489,235,460,156,162,1691,60,733,1082
78946.56,2985,274,747,31,11,0,1088,61,0,935,171
130731.66,3703,490,351,120,110,116,1229,42,8,1020,210
86573.85,5182,0,11,0,300,913,1450,249,0,1356,239
93457.24,3840,569,784,47,13,0,1262,177,4,1209,173
88484.93,4435,751,808,18,3,0,1296,345,0,1182,302
77788.7,6173,78,1308,781,188,15,1638,807,4,1571,782
38360.94,455,0,17,21,32,20,133,0,0,15,3
85752.63,4482,294,1356,134,73,9,1413,486,5,1394,460
79768.45,3018,65,934,116,18,0,558,602,0,985,111
91194.75,8583,491,397,482,798,171,2857,195,18,2562,434
56294.59,693,210,53,123,78,12,0,478,0,202,286
65074.18,4058,645,793,209,78,18,1193,603,10,1190,620
98541.79,5000,2,73,180,538,441,1116,755,0,1351,431
89870.57,6404,11,0,3,60,673,1543,40,3,1341,121
29850.72,1094,0,91,226,134,26,0,715,0,0,640
39595.42,2507,806,198,159,46,45,10,1399,14,297,1046
100755.69,17839,0,27,19,41,670,5200,711,0,4459,873
26366.68,2306,389,157,78,63,19,313,515,4,182,562
46812.51,5614,282,1553,491,54,19,152,2296,0,759,1588
47616.02,1848,650,90,34,35,0,555,297,0,502,263
49735,6244,298,1460,221,129,23,892,1304,4,1276,791
91373.13,7657,21,26,76,1194,938,2293,419,0,2369,233
56714.61,5501,199,1212,61,53,168,354,1605,6,670,1195
89422.69,3028,275,396,248,93,53,1141,38,0,1034,54
71335.59,4677,815,1338,306,299,71,80,2839,0,870,1904
61284.89,1514,98,227,84,62,55,544,111,0,548,89
38449.04,6248,1276,589,322,443,279,444,2858,43,836,2361
86186.38,2731,102,309,179,158,56,898,90,49,876,96
99574.54,6945,51,848,900,148,25,2029,0,0,1814,94
91041.22,3315,321,179,84,88,114,903,137,6,833,138
73282.02,3828,58,879,287,63,10,1017,287,0,1058,259
84093.89,8007,301,561,202,248,218,2757,218,8,2581,235
74162.27,7982,35,486,949,872,101,2424,194,65,1880,570
104475.1,6636,83,459,189,402,540,2351,48,0,2175,100
58888.92,4079,969,475,194,80,17,636,1208,4,985,781
42693.28,6589,1629,1164,184,68,26,63,3021,94,655,2362
82961.73,4947,29,467,485,178,112,1262,771,0,1042,771
51868.81,6463,461,954,249,228,860,0,4137,0,890,2567
107669.83,4014,28,1320,35,8,8,1440,56,0,1211,231
50151.84,2603,20,57,96,254,241,326,676,11,262,700
79410.01,2879,344,345,138,158,78,1135,15,3,1068,68
73769.81,8200,242,997,971,561,266,1978,1728,3,2926,564
120926.6,5579,0,0,22,771,767,1741,10,0,1557,127
139062.5,31,0,0,2,0,1,3,0,0,0,0
119645.16,7311,11,83,725,900,552,2258,218,0,2117,208
76779.45,4252,304,776,406,127,13,1117,554,9,995,615
111062.66,6799,28,12,12,657,1004,1798,61,0,1608,88
48126.58,2092,470,425,55,46,15,512,489,20,554,460
38949.16,5490,242,1036,239,427,30,5,2256,0,273,1808
48108.08,7053,456,999,245,735,396,1591,1951,0,1602,1917
47745.9,5300,1172,1015,131,99,26,1814,725,4,1245,1209
83889.98,7129,10,215,798,1147,365,2266,762,0,2285,615
51043.55,1811,746,131,0,10,3,16,924,0,271,605
48171.17,550,0,0,6,7,28,0,249,0,197,22
52865.31,2086,385,347,124,66,19,416,571,14,488,507
45882.82,1791,61,449,181,111,19,196,402,281,416,418
103849.33,6267,147,689,418,412,225,2133,6,171,2024,167
147268.04,8168,3,21,30,480,1278,2435,475,0,2467,241
60731.07,4753,41,1148,433,121,20,1655,202,0,967,758
61537.69,4932,443,330,268,359,97,596,1246,0,1039,700
41009.21,6886,1913,808,317,99,78,1545,1911,29,1560,1787
79302.44,6288,495,432,251,165,42,1625,16,76,1334,327
89229.64,4617,62,475,449,201,148,1266,459,4,1315,298
113953.72,3172,1143,27,10,11,10,1175,63,0,1005,151
86149.02,4376,83,730,263,488,36,893,1063,5,1347,463
101785.56,3658,466,388,125,125,44,1328,35,7,1150,172
105837.07,2645,3,203,555,64,0,737,92,0,756,37
51329.66,3076,1064,236,47,21,3,1145,230,10,922,412
49566.43,5121,874,853,239,209,23,1358,895,4,1107,1103
59284.88,3211,116,919,211,78,51,513,954,0,797,562
35990.46,3077,835,674,61,59,7,169,1487,0,194,1393
70857.69,5883,576,1453,290,137,40,2158,430,12,2026,505
115332.52,4490,9,126,852,390,20,1443,22,0,1150,201
185925.26,6872,0,12,33,30,680,1451,29,845,1816,298
109231.97,7940,525,779,320,347,195,2604,56,0,2326,208
118865.18,6663,0,9,21,79,513,1987,298,0,1722,387
43934.85,5743,914,846,235,121,66,234,2017,5,637,1556
48233.55,1805,251,304,124,79,26,421,427,0,420,381
128832.36,5083,0,14,353,241,144,1627,29,0,1482,7
132409.02,10578,148,121,57,74,158,2640,283,0,2137,499
70264.8,4510,1515,352,78,22,28,1002,1102,9,1027,982
71409.71,4504,348,912,365,181,14,1295,687,0,1167,718
108335.9,8062,399,571,467,57,15,2391,247,5,2084,289
97853,1921,27,433,121,100,9,641,61,5,709,9
89833.36,2853,664,305,147,165,35,270,1285,0,864,584
97326.57,7593,6,0,42,1645,295,2121,38,0,1875,131
74818.3,1168,36,172,45,60,54,389,5,58,408,41
111744.6,8602,332,125,30,307,737,2565,122,5,2398,148
51113.8,5441,722,1059,155,58,1,788,1240,0,996,957
105395.14,4625,1329,295,46,53,24,779,1253,9,875,999
120059.5,5072,32,180,914,407,122,1693,26,0,1575,46
81204.35,4049,421,467,231,142,87,1425,16,9,1185,170
53203.07,3394,1171,229,23,39,0,1308,177,5,1120,281
44872.42,2062,488,224,107,152,27,43,1001,15,272,721
43865.19,5459,1312,602,190,72,16,990,1461,10,1094,1213
78833.34,8512,489,1115,377,280,167,1410,1878,3,1920,1098
90288.47,4898,54,495,911,239,45,1501,299,5,1323,369
59881.35,6354,1060,899,390,321,36,1477,1441,5,1711,1214
87680.33,2622,965,46,10,3,0,276,760,5,664,354
43411.92,4048,1136,358,120,302,107,38,2199,5,754,1329
44448.7,4399,1403,600,194,56,26,143,2223,10,633,1647
25364.87,6002,1147,996,305,223,110,1004,1888,4,568,2182
63770.79,6227,143,623,486,432,358,1885,912,14,1915,753
84425.51,1258,43,255,51,27,12,375,75,4,325,95
77330.9,4480,235,736,141,203,146,1488,223,11,1325,295
82200.79,4583,1411,660,150,77,2,1258,1068,5,1303,975
56629.38,4178,179,1139,291,101,6,1134,601,0,1050,636
48417.14,5480,753,663,361,263,140,1290,1147,5,1219,1134
171432.79,5695,0,0,25,496,696,1657,5,0,1562,28
82994.24,4579,1492,204,36,46,10,1495,342,4,1273,453
87066.63,4889,101,1370,266,166,2,1732,244,0,1570,381
58986,5878,104,1085,494,596,49,1127,1299,5,1169,1185
90240.73,4099,1432,126,6,6,2,1242,340,3,1266,256
54798.17,6006,1810,475,142,69,9,2293,447,4,1818,741
117753.49,7551,562,572,247,497,364,2678,44,74,2510,195
73171.43,3901,958,551,155,74,19,1241,543,5,1270,500
108728.23,6146,0,10,10,475,933,1712,121,0,1536,200
135322.77,4012,540,400,154,92,72,1194,223,0,1166,192
127675.86,6436,97,144,567,1059,183,2159,51,4,1978,133
78718.51,4546,986,204,25,270,311,1260,1017,0,1217,843
73063.82,6571,54,229,240,566,310,2083,224,119,1977,342
79863.98,7219,8,1249,736,267,150,2085,561,0,1700,751
49085.51,4916,100,789,564,598,78,992,1360,1,1252,973
112390.24,6110,0,52,803,670,160,1694,63,0,1509,105
92100.6,6059,165,270,497,444,102,1428,319,0,1440,186
55918.56,2801,84,854,192,83,26,694,578,0,666,592
47849.13,2092,355,491,53,48,14,438,548,0,365,609
37061.05,5626,198,1405,484,261,14,1204,1213,0,677,1661
90862.03,1980,373,116,74,59,18,381,391,10,372,337
79438.94,4877,361,1035,182,181,70,1721,271,8,1659,310
108838.73,1822,213,148,96,112,50,655,5,2,611,32
55576.62,4297,1389,512,113,35,15,1025,1091,19,886,1219
88439.02,10433,8,9,24,513,532,2795,1016,0,2759,647
59377.1,5580,107,887,873,113,20,1203,852,4,1281,701
82433.96,5479,39,325,937,563,215,1895,384,4,1891,281
83006.54,7711,10,14,75,865,999,1538,1615,0,2246,638
57320.07,6110,801,857,363,277,101,2509,60,112,2289,315
84742.94,3523,9,53,78,290,401,1219,6,0,960,120
41869.98,1903,709,193,84,27,7,259,854,5,368,727
79180.44,5136,95,579,232,387,109,1277,488,2,1282,362
32840.03,4459,1071,544,228,186,115,444,2040,8,455,1863
131224.2,9217,8,7,0,281,1745,2569,245,0,2463,208
63960.8,4871,401,1294,88,23,0,1006,822,0,1516,247
89179.62,4476,56,1302,428,94,14,1112,808,0,1086,762
55944.36,2657,89,525,243,58,22,615,352,0,645,315
84409.96,3558,112,326,401,210,211,1098,475,14,1156,362
55585.08,1876,382,277,38,39,33,435,428,13,444,364
92322.65,6078,335,933,118,82,273,1805,458,4,1372,719
42139.56,610,11,61,48,22,3,73,84,9,66,15
56213.98,1637,46,121,169,26,254,82,757,0,560,226
42726.68,179,40,61,26,0,0,10,98,20,0,134
29331.9,5613,34,40,90,405,123,183,2141,0,980,1148
66581.33,2767,285,408,148,90,58,926,147,12,823,203
39102.21,2962,260,789,244,170,83,245,1556,85,359,1363
58028.27,5428,1442,899,76,51,9,1839,695,0,1666,734
92231.66,4585,192,1428,36,69,13,1656,90,0,1428,268
93095.56,5748,211,326,315,404,236,1988,75,10,1829,131
80560.73,5114,8,88,508,792,99,1109,190,318,1341,162
54264.47,5681,277,1703,575,494,65,35,3393,5,1183,2072
89433.61,7617,7,67,1008,819,350,2180,654,0,2439,324
62606.33,4163,527,594,246,145,87,1290,482,5,1100,623
16000.93,4535,423,484,360,468,122,27,2209,10,180,1909
57095.25,3698,1262,309,28,7,0,540,1075,13,665,895
51869.78,3755,1212,586,97,45,15,842,1136,14,828,1118
223360.67,148,9,14,13,9,0,32,0,18,44,0
47596,1091,354,81,23,0,9,387,94,4,272,203
38886.35,686,121,57,30,111,14,13,334,72,57,296
39010.23,492,48,59,162,24,0,0,289,5,85,219
105372.49,3346,17,1045,93,23,0,1173,38,0,959,209
105818.89,4737,104,1206,105,329,181,1609,482,0,1397,623
120681.37,7930,713,673,253,334,111,2386,59,12,2065,184
90708.71,7933,577,774,355,409,237,2125,718,0,2282,410
79425.03,2794,25,970,107,66,9,874,321,0,926,237
100299.52,7540,53,55,66,826,844,2252,314,0,1864,580
87987.58,4056,149,711,462,155,43,956,157,587,1322,273
87174.39,4838,205,1635,97,39,0,1713,365,0,1467,492
88563.9,6009,10,0,0,348,729,1641,16,0,1426,82
77453.88,5753,173,1180,569,141,50,1592,682,10,1725,500
29309.39,1963,262,505,81,36,36,80,911,5,123,827
41223.26,2375,821,236,91,18,17,0,1307,0,284,934
47428.13,3735,1036,432,168,152,55,599,1324,10,621,1253
113674.91,5185,605,625,70,106,23,1557,173,2,1372,268
70000,5592,1440,647,303,75,23,1795,785,0,1540,901
80000,514,0,0,0,9,14,0,291,5,201,26
88163.5,2158,16,18,0,22,68,247,669,0,681,167
80232.65,3237,423,670,231,74,0,1153,248,5,991,352
72257.91,3952,86,641,251,66,61,898,295,0,835,271
92762.65,4566,758,521,119,87,3,1302,422,5,1338,304
52079.96,6131,67,520,549,691,406,588,2480,15,1895,1015
0,133,0,0,0,0,0,0,0,0,0,0
85321.04,3974,19,541,440,224,32,1138,182,0,846,387
71710.64,2365,685,271,66,50,9,810,300,5,720,360
111256.2,3611,9,0,0,275,722,1157,0,0,972,93
60678.25,8216,348,1050,429,609,220,1491,1816,0,2031,1056
44740.86,4612,697,1186,214,241,33,289,2293,0,700,1730
111288.55,5453,50,79,228,419,646,1574,16,244,1647,68
46733.84,4400,1098,552,241,91,25,1341,763,5,1041,867
108636.49,6966,148,511,724,484,175,2125,151,0,2016,167
53859.69,979,155,134,51,51,3,390,9,15,333,69
79124.88,10137,367,866,675,450,251,2827,889,7,3011,534
68883.27,8467,217,1521,1271,303,321,948,3115,0,2057,1787
71272.02,2363,45,675,32,39,21,662,168,0,493,302
83835.97,9903,326,130,85,185,447,2243,1656,5,2478,1076
61676.75,3861,230,262,150,164,115,283,887,4,658,444
95922.51,235,0,34,24,43,3,10,0,123,136,0
72239.27,5380,740,574,234,263,108,1415,1068,0,1332,948
53033.19,2800,1032,188,27,22,0,929,378,4,769,480
81685.37,7296,263,602,419,650,312,2143,548,0,2082,563
140273.39,19591,11,13,0,7,170,5318,127,1,4346,670
0,0,0,0,0,0,0,0,0,0,0,0
98909.42,8482,35,1186,215,77,92,3135,50,0,2514,315
132012.72,5361,323,585,364,284,136,1754,31,5,1632,72
69702.04,6431,784,1561,192,151,57,1690,1109,0,1892,868
72693.15,4815,655,946,126,120,24,1292,815,11,1415,635
103605.92,2798,12,339,562,123,0,785,284,0,787,250
79519.57,5838,56,1128,461,476,80,1778,695,4,1545,828
88191.33,5605,206,820,751,241,57,1745,396,0,1631,426
56890.43,2672,673,261,83,95,33,966,272,0,865,326
71032.73,4389,1409,233,23,39,18,681,1292,14,1032,807
68153.28,3462,126,1183,79,42,0,898,575,0,824,549
95797.18,2054,106,422,189,24,10,753,20,0,706,46
65102.16,969,58,116,64,41,64,415,15,10,385,45
55944.09,900,15,21,105,116,3,241,95,4,290,30
91948.38,9421,252,718,427,203,153,2770,538,13,2375,752
193913.19,10262,0,15,0,36,441,2920,391,0,2644,308
96112.46,2135,55,704,11,11,11,793,0,0,726,46
53600.74,4506,525,796,253,171,56,1452,452,0,909,880
38463.5,2028,453,202,56,31,36,104,1122,0,370,745
38984.6,8417,340,1650,475,315,81,0,3146,0,155,2801
82052.14,9520,37,563,1239,193,478,2210,1679,1,1943,1592
113990.89,3063,0,69,773,72,12,915,37,0,826,47
61610.53,3212,490,1242,213,138,11,15,2105,0,414,1644
99880.34,6505,434,303,244,244,201,2058,158,29,1466,643
52378.84,3718,1108,598,140,75,12,881,1080,5,727,1142
105972.01,2630,0,688,196,9,9,859,164,0,806,147
69005.44,4493,818,623,194,149,159,636,1967,14,769,1528
99627.44,2896,136,940,22,10,0,1103,44,0,912,158
84812.86,7332,87,314,408,868,425,2172,545,15,2019,564
81229.83,4387,28,321,689,233,96,1046,422,0,859,504
78759.46,7752,741,1110,348,565,136,1080,2315,6,1731,1487
128237.45,7432,0,212,319,345,286,2228,161,0,1899,287
70819.55,7207,247,845,394,762,366,1522,2173,6,1833,1726
87612.69,3329,44,828,287,86,70,1161,204,0,1019,260
87427.55,4150,0,0,0,0,262,161,1911,0,1284,699
114292.36,6537,35,246,1148,594,78,2091,263,0,2039,189
89871.01,1788,336,200,50,93,16,360,337,0,392,297
73075.26,5007,240,1103,495,99,34,1392,599,13,1413,579
186030.73,3605,11,435,180,151,247,1001,369,0,1013,364
86139.19,11232,0,0,47,339,849,1997,663,0,1875,546
50914.13,3049,267,812,124,69,10,934,384,0,685,620
131314.95,5493,0,66,1415,283,26,1857,0,0,1682,68
88914.06,1694,545,82,19,0,0,450,199,0,440,191
53769.95,6948,1131,1027,389,106,19,1034,1706,22,1260,1475
44146.71,4496,908,686,225,113,74,652,1698,10,914,1339
102507.92,5895,9,20,332,851,246,1550,459,0,1554,259
101010.31,4624,11,284,671,579,118,1583,198,5,1470,291
55155.78,4913,1198,364,215,163,35,1280,968,10,1133,1026
98567.06,2186,120,292,73,65,53,761,57,16,687,103
27236.96,3477,331,439,242,108,80,216,1418,0,213,1262
54039.31,5437,783,942,236,409,26,1769,724,7,1600,840
102958.67,3169,8,792,303,39,0,1161,0,0,972,158
21929.02,3697,324,889,100,77,13,0,1432,0,20,1314
44498,4584,421,1773,208,100,126,42,2653,0,113,2422
32040.69,1501,397,322,110,62,17,11,953,0,148,752
105592.17,10838,117,475,313,478,733,3223,406,2,3092,355
32042.91,4606,1238,547,108,100,0,602,1438,0,524,1393
69939.94,6762,182,443,151,784,487,917,2116,11,1767,1023
49140.81,1704,9,60,173,359,103,486,4,302,708,35
53474.03,2832,343,83,21,34,129,0,1715,0,655,855
103209.53,5081,7,63,406,191,290,1466,48,0,1339,70
47406.48,3401,541,200,208,108,42,666,754,6,737,538
71255.03,7894,56,1119,390,497,100,1851,754,10,1864,570
84731.29,3366,93,385,481,256,37,1116,320,5,1094,305
90666.49,3681,285,303,161,110,50,1117,79,21,967,178
105123.47,14796,0,2,0,87,685,4613,382,0,4066,395
82288.66,3725,484,413,150,116,32,1381,7,0,1258,52
87357.01,4603,12,106,291,932,194,1256,577,0,1363,325
96592.32,2728,32,877,29,58,10,937,84,0,843,153
45024.45,2598,840,201,60,25,0,47,1108,6,245,854
38959.33,6951,991,1419,217,192,39,845,2067,21,763,2002
185065.29,5413,1287,388,36,25,32,1126,726,0,1189,578
79330.23,6801,669,636,293,617,199,1317,1366,115,1711,931
67064.88,6124,140,1781,417,164,154,1217,1626,0,1398,1282
85265.43,3466,284,627,90,66,12,675,448,0,912,187
36747.91,4091,881,893,163,136,85,578,1627,32,786,1406
99176.21,8690,148,586,487,255,616,2480,594,0,2536,277
54244.03,5794,624,765,107,65,24,989,654,6,990,555
95644.77,4340,159,606,234,258,95,890,721,4,1126,426
98179.01,1437,131,131,93,79,29,466,6,4,399,54
58950.12,5751,238,1055,961,100,19,450,1975,0,858,1472
99322.45,6815,132,945,318,367,228,2036,579,5,2089,399
52141.44,4074,869,810,102,52,12,1238,630,14,1287,583
48929.4,129,0,0,9,18,2,16,17,6,16,8
200764.89,5326,674,383,62,168,279,1374,523,4,1422,327
80807.58,6616,17,1028,1231,113,8,2213,266,0,1700,615
106210.48,3707,25,866,203,91,114,1236,124,4,1002,282
42231.98,4395,1540,378,90,25,10,1202,941,4,958,1106
114451.55,3252,1240,30,0,0,0,1289,11,0,1182,43
85639.16,3110,48,692,110,148,65,748,667,5,782,487
76617.17,8601,645,668,343,463,326,2837,799,4,2477,936
85058.79,7230,849,760,320,268,175,2611,47,188,2434,263
53735.08,4930,283,1219,471,220,66,856,1564,5,1015,1281
52244.22,6853,583,1062,253,344,36,1495,1119,33,1594,955
93727.62,6796,13,1057,814,473,25,1416,1077,3,2014,259
38680.23,541,11,31,35,37,21,149,0,14,21,21
52443.56,7792,184,985,154,146,67,5,3089,0,795,1994
78269.27,6901,939,957,323,218,132,2560,276,31,2312,512
89111.45,10596,141,326,655,376,221,1226,1614,10,1871,715
107370.96,2871,762,84,13,50,95,927,181,0,942,83
46266.17,3782,447,871,14,34,10,436,962,4,760,596
80749.15,2394,69,829,11,0,0,909,5,5,899,24
85904.25,3687,72,1201,60,3,10,1158,215,0,1099,219
63807.4,6507,1354,1009,228,120,53,1561,1347,0,1088,1623
42371.38,2061,690,123,96,84,23,11,1052,0,298,732
99713.7,9777,0,7,7,91,947,2640,30,0,2205,186
83996.36,467,62,8,0,19,8,195,6,0,169,9
91604.7,2684,807,126,49,30,19,481,612,19,508,513
55754.06,2589,145,413,188,124,46,913,100,13,752,247
50757.16,6017,1000,976,227,206,95,1785,992,4,1290,1225
100110.64,5045,31,120,165,690,180,1617,129,0,1518,129
45193.79,4891,493,710,483,122,25,1185,800,11,1153,734
51747.47,7781,2125,1245,241,67,66,450,3496,24,905,2813
99040.84,1693,34,91,45,100,26,356,167,0,367,93
37052.88,4319,576,342,218,389,30,557,1067,0,639,883
61953.75,3598,1022,329,200,187,13,931,878,4,867,857
51027.24,7566,711,1538,248,118,214,707,2450,4,1139,1906
53174.78,4210,645,394,90,67,45,916,409,22,994,264
77159.08,7009,197,882,562,472,136,2229,62,535,2477,198
94982.51,2705,226,428,116,101,11,832,190,5,769,214
84467.63,2437,98,287,68,247,105,832,44,0,679,129
53563.72,4646,1141,431,161,84,48,1415,603,7,1159,759
92794.18,3748,299,608,301,148,140,1254,384,0,1261,326
54857.33,696,71,148,34,43,9,288,15,31,287,48
65157.66,4784,32,479,566,431,21,1203,494,4,951,652
41945.28,2685,1356,287,26,42,10,0,1730,28,365,1354
100692.27,4495,1382,262,31,108,10,1592,212,5,1534,214
58738.3,4169,248,815,69,87,13,719,792,0,585,819
39882.03,5755,398,813,308,448,32,532,1532,0,564,1374
79958.83,3394,1108,276,44,49,8,1060,435,4,1105,356
111776.64,3885,402,628,197,108,31,1248,263,0,1200,230
47982.82,5426,1427,557,179,125,43,271,2556,16,1026,1678
87400.64,6037,547,308,475,353,110,1102,1229,25,1413,744
186898.83,4308,0,70,120,400,57,1363,0,4,1164,14
135216.19,4748,942,160,45,38,60,1290,221,0,1285,155
96209.19,2810,210,217,179,276,39,1017,5,5,972,42
65850.16,3498,944,453,64,43,41,1101,493,5,1127,453
28583.68,4600,827,930,270,111,25,239,2160,0,447,1856
82764.77,3550,766,402,76,72,3,960,505,0,728,634
59689.73,4870,25,164,339,624,239,336,1213,0,822,588
104697.05,3901,3,363,816,61,0,1077,173,0,1013,184
64925.69,6504,101,1375,633,105,0,939,1301,5,1896,227
81972.99,3167,86,259,188,365,66,956,180,6,978,109
44678.9,6914,176,1396,346,411,759,6,3744,0,776,2534
76176.46,3133,286,488,100,122,40,658,612,4,741,457
101501.03,2966,9,58,71,467,60,638,216,0,676,107
29059.16,3967,850,614,161,132,88,6,2376,0,254,1934
41528.72,3026,1064,304,125,85,25,975,640,22,629,926
38480.62,6523,360,2109,405,129,10,336,2740,9,562,2441
