Median Household Income (Current Year $),Total Population,Total Households For Period Of Construction Built Before 1961,Total Households For Period Of Construction Built Between 1961 And 1980,Total Households For Period Of Construction Built Between 1981 And 1990,Total Households For Period Of Construction Built Between 1991 And 2000,Total Households For Period Of Construction Built Between 2001 And 2005,Total Households For Structure Type Houses,"Total Households For Structure Type Apartment, Building Low And High Rise",Total Households For Structure Type Other Dwelling Types,Dwellings by Tenure Owner,Dwellings by Tenure Renter
116419.48,3139,61,307,179,70,67,1048,67,0,872,68
100275.63,6398,45,109,363,709,272,1655,585,5,1762,291
85406.71,6367,50,213,159,413,519,1687,560,4,1633,434
95184.73,9524,50,51,110,253,682,2480,122,3,2095,268
102940.15,3851,166,393,252,318,136,1395,142,21,1230,265
75974.15,2714,572,326,85,40,14,925,231,0,687,388
54423.92,8263,412,1343,442,421,148,2433,1101,4,1976,1344
43371.88,2469,351,766,279,70,27,121,1601,8,366,1290
104177.97,7930,12,123,202,1572,245,2169,84,0,1851,302
206075.59,3158,1018,168,20,14,3,681,561,0,740,478
53664.56,5403,1753,624,115,46,6,1488,1152,4,1278,1232
118699.67,5191,0,11,16,584,642,1470,0,0,1279,90
48135.79,7363,383,1567,162,68,20,886,1707,6,1003,1407
45464.71,3330,676,511,155,70,21,707,853,0,628,868
42056.87,7793,1120,1411,207,163,70,769,2337,0,1000,1920
71209.51,3388,541,332,165,149,47,1177,109,39,1093,217
95639.21,8812,3,0,16,239,940,1963,147,0,1660,246
96255.4,4914,1384,680,125,70,27,544,1916,0,870,1440
37649.04,2169,974,150,65,30,0,177,1053,14,387,857
84806.31,1123,64,209,90,49,12,371,98,5,383,88
112905.99,7958,212,1363,354,695,49,1906,956,3,2410,340
105559.85,4326,0,19,231,540,605,1369,178,0,1300,145
112272.14,8913,10,114,559,343,306,2774,554,1,2344,698
102509.46,2354,658,117,86,99,25,440,739,0,658,448
60583.31,5326,655,1023,89,52,47,927,1171,16,699,1254
31658,2019,809,195,58,19,3,434,644,12,363,707
78403.42,5037,399,553,227,250,34,920,833,0,848,799
99244.1,7615,112,1186,711,293,137,2059,613,0,2140,309
97376.94,1003,86,173,69,25,9,445,4,0,384,19
54400.6,4301,1253,389,150,39,32,732,1185,15,988,834
36760.03,5008,844,489,150,134,46,75,1667,0,311,1341
39118.41,2847,770,343,60,68,17,894,504,4,773,532
70000,2957,242,694,76,51,43,590,700,0,695,600
163926.03,11322,0,11,230,1303,939,3553,276,0,3165,359
103849.43,13997,200,638,253,430,487,4519,241,49,3674,460
109400.11,9792,11,12,139,1328,359,2812,253,0,2505,335
104615.52,16798,10,0,8,18,208,4686,702,6,4303,486
107105.02,7179,12,66,379,1207,232,2015,155,0,1711,341
79761.41,7359,2411,383,102,36,34,1470,1701,0,1754,1209
87471.56,4094,370,445,227,200,85,1482,20,33,1433,128
81177.09,5853,37,978,648,52,3,1576,197,5,1252,403
46161.73,3568,799,665,136,40,23,342,1440,10,518,1227
97090.07,7368,8,15,161,838,593,2024,632,0,2083,371
70000,957,0,27,158,122,112,556,0,4,503,24
78149.36,5236,173,610,435,396,146,1096,1050,0,1160,889
78671.95,3455,696,451,57,42,12,1124,214,0,1151,182
111424.92,7085,305,869,196,362,468,2365,215,0,1893,520
90173.38,5132,13,1025,753,83,12,1933,5,5,1628,242
54901.18,7105,2302,460,97,129,39,2407,804,9,1878,1084
36781.11,2562,577,359,93,77,19,390,813,5,490,710
92514.32,2093,103,548,13,8,53,639,103,0,502,192
88155.97,4813,60,577,240,329,253,1464,347,43,1458,328
57753.43,5229,685,701,268,129,10,1051,793,0,1045,690
96312.32,8160,0,9,8,102,887,2011,6,0,1743,144
79376.99,7566,97,427,181,763,420,2539,246,35,2378,259
78313.67,5409,20,591,1070,305,50,1304,546,339,1811,247
